,weapon,count,Artificer,Barbarian,Bard,Cleric,Druid,Fighter,Monk,Paladin,Ranger,Rogue,Sorcerer,Warlock,Wizard
0,Cleric,112,1,0,7,29,3,6,6,4,5,6,3,2,11
1,Bard,119,1,4,60,1,2,5,1,4,2,9,2,3,2
2,Fighter,312,2,22,8,10,2,116,9,10,6,35,13,23,11
3,Druid,72,0,2,1,2,30,3,3,2,2,0,0,1,3
4,Rogue,265,1,6,13,4,1,39,12,6,22,93,2,7,6
5,Barbarian,127,0,42,5,2,12,24,5,3,3,1,3,1,0
6,Monk,75,0,1,3,1,4,2,39,0,0,2,2,1,3
7,Paladin,116,0,3,4,4,2,5,0,60,0,2,8,10,1
8,Wizard,87,2,1,0,2,3,12,2,2,0,8,2,0,39
9,Sorcerer,126,0,3,4,1,0,5,0,16,2,8,55,10,1
10,Warlock,201,1,2,20,3,1,14,1,23,2,13,22,58,3
11,Ranger,84,0,0,0,2,2,8,2,0,36,11,2,2,0
12,Artificer,18,8,0,0,0,0,2,0,0,0,1,0,0,2
13,Revised Ranger,15,0,0,0,0,1,2,0,1,0,2,0,0,0
14,Blood Hunter,1,0,0,0,0,0,0,0,0,0,1,0,0,0
15,Mystic,2,0,0,0,0,0,2,0,0,0,0,0,0,0
