,ip,finger,hash,name,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,levelGroup,alias,class_main,multiclass
0,52c138b,4fd1e4b,b808e3bb7a58a0c38ccc6724aa7aa632,ea3ec0cd,Tabaxi,Port City Noble,2021-08-08T19:03:48Z,Cleric 20,Cleric,Light Domain,20,Observant|Telekinetic|Lucky,208,19,13,18,16,14,20,16,NG,Stealth|History|Insight|Medicine|Perception|Persuasion,"Mace|Crossbow, light|Voyager Staff +1",Light*0|Toll Of The Dead *0|Sacred Flame *0|Resistance *0|Word Of Radiance *0|Burning Hands*1|Faerie Fire*1|Bless *1|Create Or Destroy Water *1|Detect Good And Evil *1|Inflict Wounds *1|Shield Of Faith *1|Guiding Bolt *1|Flaming Sphere*2|Scorching Ray*2|Hold Person *2|Spiritual Weapon *2|Daylight*3|Fireball*3|Spirit Gardian *3|Dispel Magick *3|Guardian of Faith*4|Wall of Fire*4|Death Ward*4|Stone Shape *4|Flame Strike*5|Scrying*5|Dawn *5|Holy Weapon *5|Heal*6|True Seeing *6|Harm *6|Conjurer Celestial *7|Divine Word *7|Firestorm *7|Holy Aura *8|Sunburst *8|Gate *9,Wis,,United States,US,NG,,,Tabaxi,Light*0|Toll the Dead*0|Sacred Flame*0|Resistance*0|Word of Radiance*0|Burning Hands*1|Faerie Fire*1|Bless*1|Create or Destroy Water*1|Detect Evil and Good*1|Inflict Wounds*1|Shield of Faith*1|Guiding Bolt*1|Flaming Sphere*2|Scorching Ray*2|Hold Person*2|Spiritual Weapon*2|Daylight*3|Fireball*3|Spirit Guardians*3|Dispel Magic*3|Guardian of Faith*4|Wall of Fire*4|Death Ward*4|Stone Shape*4|Flame Strike*5|Scrying*5|Dawn*5|Holy Weapon*5|Heal*6|True Seeing*6|Harm*6|Conjure Celestial*7|Divine Word*7|Fire Storm*7|Holy Aura*8|Sunburst*8|Gate*9,"Mace|Crossbow, Light|",19-20,stoic_chaum,Cleric,False
1,e115ad2,06dc7d7,aa02e3ead237a9abfa36a7fa321695cd,232ee42e,Human,Outlander,2021-07-20T00:16:34Z,Fighter 20,Fighter,Samurai,20,Great Weapon Master|Polearm Master,174,16,20,17,20,8,10,8,Lawful Neutral,Athletics|Acrobatics|Animal Handling|Perception|Survival,"Greatsword|Crossbow, light",,Int,fighting style/Great Weapon Fighting|combat superiority maneuvers/Precision Attack,United States,US,LN,,,Human,,"Greatsword|Crossbow, Light",19-20,goofy_jepsen,Fighter,False
2,965c23b,a1cd21a,d223fd29f9b763b8f7870a62cfb8a4f1,3b5282a6,Half-Giant,Barbarian Tribe Member,2021-07-16T09:36:49Z,Barbarian 20,Barbarian,Path of the Totem Warrior,20,Great Weapon Master|Tough|Durable|Tavern Brawler|Medium Armor Master|Slasher,450,26,25,16,26,8,8,8,Chaotic Neutral,Athletics|Acrobatics|Nature|Animal Handling|Perception|Survival|Intimidation,"Greatsword|Crossbow, light|Javelin",,Int,custom lineage variable trait/Skill,United States,US,CN,,,,,"Greatsword|Crossbow, Light|Javelin",19-20,frosty_matsumoto,Barbarian,False
3,477aab5,5a821e9,987b8291d84d7b8cafd26bea552d9b42,1a2e3ab9,Human,Sailor,2021-05-16T14:45:19Z,Monk 20,Monk,Way of the Drunken Master,20,Lucky,181,20,15,20,18,9,20,11,,Athletics|Acrobatics|Stealth|Insight|Perception|Performance,Spear|Dart|Unarmed strike,,Int,,United States,US,,,,Human,,Spear|Dart|Unarmed Strike,19-20,inspiring_austin,Monk,False
4,34039ef,8fc15dd,05f39aad03498aebf7557e5dc36f58e0,9827ca64,Fallen Aasimar,Noble,2021-05-07T22:08:43Z,Warlock 20,Warlock,The Fiend,20,,145,12,10,12,10,14,18,20,,Arcana|History|Religion|Deception|Persuasion,Handaxe|Dagger,,Cha,pact boon/Pact of the Tome*Pact of the Blade*Pact of the Tome*Pact of the Tome*Pact of the Tome*Pact of the Tome|eldritch invocations/Beguiling Influence*Devil's Sight*One with Shadows*Armor of Shadows*Sign of Ill Omen*Lance of Lethargy*Witch Sight*Thirsting Blade,United States,US,,,,Aasimar,,Handaxe|Dagger,19-20,keen_galileo,Warlock,False
5,4bda84f,fb17a17,18deb7223d55a84e3e6f99625a96ee37,79e53fe3,Human,Acolyte,2021-04-28T16:27:44Z,Paladin 20,Paladin,Oath of Conquest,20,Tough,244,22,20,14,18,14,12,20,LN,Athletics|Religion|Insight|Medicine|Intimidation,Holy Avenger Greatsword|Javelin,Armor of Frost*1|Command*1|Hold Person*2|Spiritual Weapon*2|Bestow Curse*3|Fear*3|Dominate Beast*4|Stoneskin*4|Cloudkill*5|Dominate Person*5,Cha,fighting style/Great Weapon Fighting,United States,US,LN,,,Human,*|Command*1|Hold Person*2|Spiritual Weapon*2|Bestow Curse*3|Fear*3|Dominate Beast*4|Stoneskin*4|Cloudkill*5|Dominate Person*5,Greatsword|Javelin,19-20,adoring_khorana,Paladin,False
6,5bacf3e,cf932b8,45e7d57a2f312e009510340cf790a538,29dee3f7,Human,Sage,2021-01-15T19:46:02Z,Druid 20,Druid,Circle of the Shepherd,20,War Caster|Resilient|Telekinetic,240,17,10,13,18,11,20,12,,Arcana|History|Nature|Perception|Performance,Sickle|Quarterstaff,,Wis,,,,,,,Human,,Sickle|Quarterstaff,19-20,pedantic_austin,Druid,False
7,3f12c79,19ffaf8,7f08e14b65e632319baff978fd17b967,b876fc7d,Human,Knight,2020-11-14T00:50:09Z,Paladin 20,Paladin,Oath of Devotion,20,,285,16,16,14,18,14,13,14,,History|Religion|Insight|Intimidation|Persuasion,Javelin Of Lightning,Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4|Commune*5|Flame Strike*5,Cha,fighting style/Protection,United States,US,,,,Human,Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4|Commune*5|Flame Strike*5,Javelin,19-20,happy_mestorf,Paladin,False
8,8bcf71d,94bc9ab,62503b3f090db46596ce0035541506dd,3ba84ab0,Human,Smuggler,2020-11-13T22:03:12Z,Rogue 20,Rogue,Inquisitive,20,,163,21,13,20,17,20,11,9,,Athletics|Stealth|Investigation|Deception,Rapier|Shortbow|Dagger,,Int,expertise/Stealth*Investigation*Deception*Athletics,United States,US,,,,Human,,Rapier|Shortbow|Dagger,19-20,xenodochial_elion,Rogue,False
9,8bcf71d,d20b2cf,49b3fc28fc8c8eac5bc376a70be31029,6f0b46bc,Human,Knight,2020-10-29T23:42:13Z,Paladin 20,Paladin,Oath of Devotion,20,Martial Adept,164,18,20,12,15,10,10,16,,Athletics|Arcana|Religion|Intimidation|Persuasion,Morningstar|Greatsword|Javelin,Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Branding Smite*2|Beacon of Hope*3|Dispel Magic*3|Crusader's Mantle*3|Freedom of Movement*4|Guardian of Faith*4|Staggering Smite*4|Commune*5|Flame Strike*5,Cha,combat superiority maneuvers/Sweeping Attack*Riposte|fighting style/Great Weapon Fighting,United States,US,,,,Human,Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Branding Smite*2|Beacon of Hope*3|Dispel Magic*3|Crusader's Mantle*3|Freedom of Movement*4|Guardian of Faith*4|Staggering Smite*4|Commune*5|Flame Strike*5,Morningstar|Greatsword|Javelin,19-20,practical_sutherland,Paladin,False
